"","value","gmLI_pLI_diff","inLI_pLI_diff","inLI_exLI_diff"
"172","435062","0.106167469251615","0","NaN"
"173","435063","0.016249898538961","0","NaN"
"174","435064","-0.134544406392694","0","NaN"
"175","435078","-0.0119632805219012","0","NaN"
"176","435079","0.196809598757291","-0.00163874075869597","NaN"
"177","435221","0.00493009708737868","-0.0654699029126213","0.2723"
"178","435263","0.027053316687474","0","NaN"
"179","435400","0.0915875139067179","0.0972499240303879","-0.450720046016681"
"180","435401","-0.0320103267861738","0.0190804469037762","NaN"
"181","435522","0.0625632858719648","-0.00494316219239366","NaN"
"182","435559","0.0623683110587002","-0.00207667318499727","NaN"
"183","435622","0.164102807530023","-0.00162073060643153","NaN"
"184","435623","-0.0832923076923078","0","NaN"
"185","443558","0.138258469763118","-0.00162037031785411","NaN"
"186","444379","-0.0301647479077363","0","NaN"
"187","444432","0.0657349800294303","0","NaN"
"188","444436","-0.0697065","-0.0885302903225806","-0.0896412903225807"
"189","444446","-0.00559307692307698","0.0127202564102564","-0.03078"
"190","444468","0.150629347826087","0.153331979405034","-1.29122375730994"
"191","444482","-0.0247491806143711","0","NaN"
"192","444520","-0.190364642857143","-0.0830818223443223","-0.171534957264957"
"193","444836","-0.0231038095238095","0.121612857142857","0.56365"
"194","444843","-0.0780074475975492","-0.0022417300797728","NaN"
"195","444857","0.0691904479089335","0.0766210280465932","0.242797246804326"
"196","444876","0.0991618037244562","-0.00266754167599015","NaN"
"197","444935","-0.213865854800937","-0.187371926229508","-0.110468928571429"
"198","445055","0.0104595041322313","0","NaN"
"199","445060","-0.146757904761905","0.0695072467532467","0.229842929292929"
"200","445095","0.166816666666667","0","NaN"
"201","445163","0.123376634231537","0.123376634231537","-0.291114583333333"
"202","445170","-0.074760119047619","0.0472594298245614","0.262276691729323"
"203","445197","-0.217274011299435","-0.163511927966102","-0.0429879166666667"
"204","445213","-0.112667953667954","0.121919189189189","-0.520141428571429"
"205","445276","-0.0127570630932439","-0.0213105984467792","-1.74185538720539"
"206","445590","0.13643894129979","0.0671985994194485","-0.0209958974358974"
"207","445612","0.0608785143237842","0.102507094495143","-0.0333372093023255"
"208","445926","0.122779014363546","0.0824802175193649","0.091054536489152"
"209","445968","-0.0171155555555556","-0.0171155555555556","0.36853"
"210","445988","0.206136933629326","-0.00174633507505351","NaN"
"211","446099","0.408435349462366","0.40549299973559","-1.13708234972678"
"212","446192","-0.93055","0","NaN"
"213","446225","0.3824","0","NaN"
"214","446263","0.140413168276972","0.00810648814229231","NaN"
"215","446308","-0.0875395349940687","-0.00340222547025926","NaN"
"216","446321","-0.312793428184282","-0.111109567901234","0.117978982234267"
"217","446334","0.210128740346808","-0.0012186195623991","NaN"
"218","446359","0.138705188679245","0","NaN"
"219","446372","0.0784346597300337","0.0346625852619487","0.234215425531915"
"220","446381","0.010676724137931","0","NaN"
"221","446386","-0.0888823840725808","0","NaN"
"222","446399","0.0695611485474692","0.0692801271534043","-0.312222291235335"
"223","446481","0.0521231720725672","0","NaN"
"224","446653","0.032056049736968","0","NaN"
"225","446899","0.0260844289044289","0.0429512550607287","-1.13608923444976"
"226","447714","-0.0397487492182613","-0.0143163589743589","-0.089221268292683"
"227","447755","-0.243662204724409","-0.248106941566515","-0.539715704584041"
"228","448159","-0.202280135658915","-0.15489718111346","-0.151069545454545"
"229","448170","-0.169727743902439","0","NaN"
"230","448178","0.164035881376038","0.161822392198549","-0.570281489177489"
"231","448179","-0.000434761904761993","-0.0637088998357964","0.311500862068966"
"232","448281","0.451594736842105","0.281674736842105","-0.884028333333333"
"233","448306","0.143392746580274","0.105936592281098","0.315315815397794"
"234","448602","0.110839492268871","-0.000484240543894732","NaN"
"235","448605","0.0423591758241758","0","NaN"
"236","448609","-0.0786663084112149","-0.0505644252943318","-0.201863116883117"
"237","448614","0.00371402857543068","-0.0023127555458895","-0.179003055307761"
"238","448674","-0.0154333333333333","0","NaN"
"239","448801","0.0475640809571096","-0.00307922135655891","NaN"
"240","448802","0.220762012750455","0.080012878672243","0.448740865921788"
"241","448855","0.274727777777778","0.175319444444444","-0.441775"
"242","449079","-0.179588856304985","-0.136816129032258","-0.187236363636364"
"243","449097","0.161623902308822","0.129085099021713","-1.24813710837185"
"244","449107","0.00612245341614903","0","NaN"
"245","449170","-0.184701785714286","-0.0995330357142857","-0.03000625"
"246","449181","0.0905527631653374","0","NaN"
"247","449786","-0.0572878787878788","0","NaN"
"248","450172","0.200718565093882","0.139397073985811","0.213457920656635"
"249","450203","0.0929782608695653","0.0279705314009663","0.390540096618358"
"250","450212","-0.10680389025389","-0.0984973101673103","-0.191572207792208"
"251","450275","-0.200607493031645","-0.171063154913622","-0.249171451355662"
"252","450282","-0.00220261603375516","-0.0133999077004219","-1.42311895833333"
"253","450306","0.344991282995703","0.128317949662369","0.523071111111111"
"254","450308","0.0898003475440222","0.0701942771084337","0.0764323911028731"
"255","450314","0.138448197471079","0","NaN"
"256","450317","0.0532880707762557","0","NaN"
"257","450351","0.218270765521398","0.119034190040142","0.184772948328268"
"258","450641","0","0","NaN"
"259","450665","-0.00606218579234974","0.025559718969555","0.242195238095238"
"260","450729","0.0556772794772795","0.0489623180873181","0.119527324324324"
"261","451085","-0.189514339364971","-0.0828622244224422","-0.24441167816092"
"262","451089","-0.0588176957571577","-0.00393786207732394","NaN"
"263","451109","-0.535783333333333","0.00455642857142857","NaN"
